year,iso_code,country,fire_count,burned_area_km2,fire_intensity_index
2000,AUT,Austria,78,1014.0,31.0
2001,AUT,Austria,84,1135.4,33.6
2002,AUT,Austria,85,1164.3,34.1
2003,AUT,Austria,80,1074.0,31.9
2004,AUT,Austria,70,901.3,28.1
2005,AUT,Austria,62,769.3,24.9
2006,AUT,Austria,60,739.5,24.0
2007,AUT,Austria,64,811.6,25.5
2008,AUT,Austria,70,927.1,28.0
2009,AUT,Austria,74,1010.0,29.5
2010,AUT,Austria,72,981.5,28.8
2011,AUT,Austria,65,858.2,26.1
2012,AUT,Austria,57,720.6,22.7
2013,AUT,Austria,52,640.4,20.7
2014,AUT,Austria,52,646.5,20.7
2015,AUT,Austria,56,723.4,22.5
2016,AUT,Austria,61,821.0,24.4
2017,AUT,Austria,62,849.4,24.8
2018,AUT,Austria,58,782.2,23.3
2019,AUT,Austria,51,660.8,20.5
2020,AUT,Austria,45,560.5,18.0
2021,AUT,Austria,42,516.9,16.9
2022,AUT,Austria,44,554.9,17.6
2023,AUT,Austria,48,632.0,19.1
2024,AUT,Austria,50,680.7,20.2
2000,BEL,Belgium,73,992.0,29.1
2001,BEL,Belgium,73,998.4,29.0
2002,BEL,Belgium,67,892.7,26.7
2003,BEL,Belgium,59,752.9,23.5
2004,BEL,Belgium,53,654.7,21.1
2005,BEL,Belgium,52,643.0,20.7
2006,BEL,Belgium,56,716.3,22.3
2007,BEL,Belgium,61,814.5,24.4
2008,BEL,Belgium,64,875.8,25.4
2009,BEL,Belgium,61,827.9,24.4
2010,BEL,Belgium,55,719.8,21.8
2011,BEL,Belgium,48,602.2,19.1
2012,BEL,Belgium,44,541.2,17.7
2013,BEL,Belgium,45,562.9,18.1
2014,BEL,Belgium,49,638.8,19.8
2015,BEL,Belgium,53,717.7,21.3
2016,BEL,Belgium,53,725.7,21.3
2017,BEL,Belgium,49,656.3,19.7
2018,BEL,Belgium,43,552.1,17.2
2019,BEL,Belgium,38,470.8,15.2
2020,BEL,Belgium,37,456.4,14.7
2021,BEL,Belgium,39,495.9,15.5
2022,BEL,Belgium,42,557.7,16.9
2023,BEL,Belgium,44,601.1,17.6
2024,BEL,Belgium,42,571.8,16.9
2000,BGR,Bulgaria,147,2004.6,58.6
2001,BGR,Bulgaria,133,1757.5,53.3
2002,BGR,Bulgaria,117,1480.4,46.7
2003,BGR,Bulgaria,106,1305.6,42.5
2004,BGR,Bulgaria,107,1329.5,42.8
2005,BGR,Bulgaria,116,1497.2,46.6
2006,BGR,Bulgaria,127,1708.1,50.7
2007,BGR,Bulgaria,130,1780.9,52.0
2008,BGR,Bulgaria,123,1659.8,49.1
2009,BGR,Bulgaria,109,1413.6,43.5
2010,BGR,Bulgaria,96,1196.4,38.3
2011,BGR,Bulgaria,90,1107.6,36.2
2012,BGR,Bulgaria,95,1197.1,37.8
