variable,type,label,valid_range
pnr_synth,string,Synthetic pseudo-identifier. NOT a real CPR number.,
age,int,Age in completed years at simulation start.,18-30
civilstatus,category,Cohabitation status driving the benefit rate.,enlig | samlevende
track,category,Support track the person starts in.,foertidspension | ressourceforloeb
benefit_gross_dkk,int,Annual GROSS public transfer in the start state (DKK).,>=0
net_annual_cost_dkk,int,Annual NET public cost = gross x (1 - tax_back) (DKK).,>=0
fp_responsive,int,"1 if FP work capacity can develop (eligible to exit), else 0.",0 | 1
res_years_left,int,Remaining ressourceforløb duration in years (0 if FP track).,0-5
years_to_folkepension,int,Years from start age to folkepension age (model horizon).,>=0
npv_saving_dkk,int,"Monte-Carlo mean NPV of public expenditure avoided, net of programme cost (DKK).",real
