pnr_synth,age,civilstatus,track,benefit_gross_dkk,net_annual_cost_dkk,fp_responsive,res_years_left,years_to_folkepension,npv_saving_dkk
SYN42000000,28,samlevende,foertidspension,208000,128960,0,0,42,-10000
SYN42000001,25,samlevende,foertidspension,208000,128960,1,0,45,143540
SYN42000002,29,enlig,ressourceforloeb,145000,101500,1,1,41,23940
SYN42000003,28,enlig,foertidspension,245000,151900,1,0,42,206063
SYN42000004,19,samlevende,ressourceforloeb,110000,77000,0,3,51,-15654
SYN42000005,30,enlig,foertidspension,245000,151900,0,0,40,-10000
SYN42000006,28,samlevende,foertidspension,208000,128960,0,0,42,-10000
SYN42000007,28,enlig,ressourceforloeb,145000,101500,0,1,42,-85982
SYN42000008,20,enlig,ressourceforloeb,145000,101500,1,3,50,364654
SYN42000009,25,samlevende,foertidspension,208000,128960,0,0,45,-10000
SYN42000010,24,enlig,ressourceforloeb,145000,101500,1,1,46,385417
SYN42000011,30,enlig,foertidspension,245000,151900,1,0,40,282629
SYN42000012,27,samlevende,foertidspension,208000,128960,1,0,43,142641
SYN42000013,29,samlevende,foertidspension,208000,128960,0,0,41,-10000
SYN42000014,25,samlevende,ressourceforloeb,110000,77000,0,5,45,-43244
SYN42000015,22,enlig,foertidspension,245000,151900,0,0,48,-10000
SYN42000016,26,enlig,foertidspension,245000,151900,0,0,44,-10000
SYN42000017,19,samlevende,ressourceforloeb,110000,77000,0,4,51,346801
SYN42000018,29,enlig,ressourceforloeb,145000,101500,1,1,41,45183
SYN42000019,27,enlig,ressourceforloeb,145000,101500,0,5,43,191782
SYN42000020,28,enlig,ressourceforloeb,145000,101500,0,2,42,156494
SYN42000021,24,enlig,foertidspension,245000,151900,0,0,46,-10000
SYN42000022,30,samlevende,ressourceforloeb,110000,77000,1,5,40,93544
SYN42000023,30,samlevende,foertidspension,208000,128960,1,0,40,224403
SYN42000024,28,samlevende,ressourceforloeb,110000,77000,1,5,42,287605
SYN42000025,21,enlig,ressourceforloeb,145000,101500,1,1,49,230634
SYN42000026,25,enlig,ressourceforloeb,145000,101500,1,1,45,153632
SYN42000027,18,enlig,foertidspension,245000,151900,1,0,52,157900
SYN42000028,21,enlig,foertidspension,245000,151900,0,0,49,-10000
SYN42000029,27,enlig,ressourceforloeb,145000,101500,1,1,43,-21859
SYN42000030,28,enlig,foertidspension,245000,151900,1,0,42,159338
SYN42000031,30,enlig,ressourceforloeb,145000,101500,0,1,40,-212888
SYN42000032,23,samlevende,ressourceforloeb,110000,77000,1,5,47,198740
SYN42000033,24,samlevende,ressourceforloeb,110000,77000,1,1,46,225083
SYN42000034,25,enlig,foertidspension,245000,151900,1,0,45,95310
SYN42000035,21,enlig,foertidspension,245000,151900,0,0,49,-10000
SYN42000036,20,samlevende,foertidspension,208000,128960,1,0,50,246611
SYN42000037,25,samlevende,ressourceforloeb,110000,77000,1,4,45,108689
SYN42000038,22,samlevende,ressourceforloeb,110000,77000,0,4,48,-66583
SYN42000039,27,enlig,foertidspension,245000,151900,0,0,43,-10000
SYN42000040,25,samlevende,ressourceforloeb,110000,77000,0,3,45,69582
SYN42000041,29,enlig,foertidspension,245000,151900,0,0,41,-10000
SYN42000042,28,enlig,foertidspension,245000,151900,1,0,42,259108
SYN42000043,23,enlig,ressourceforloeb,145000,101500,1,5,47,316889
SYN42000044,29,enlig,foertidspension,245000,151900,0,0,41,-10000
SYN42000045,29,enlig,foertidspension,245000,151900,0,0,41,-10000
SYN42000046,24,enlig,ressourceforloeb,145000,101500,1,4,46,81659
SYN42000047,23,samlevende,foertidspension,208000,128960,0,0,47,-10000
SYN42000048,27,enlig,foertidspension,245000,151900,1,0,43,198942
SYN42000049,20,enlig,ressourceforloeb,145000,101500,0,5,50,145757
SYN42000050,21,enlig,foertidspension,245000,151900,0,0,49,-10000
SYN42000051,18,enlig,ressourceforloeb,145000,101500,1,5,52,490174
SYN42000052,28,enlig,foertidspension,245000,151900,0,0,42,-10000
SYN42000053,27,enlig,foertidspension,245000,151900,1,0,43,137453
SYN42000054,28,enlig,foertidspension,245000,151900,0,0,42,-10000
SYN42000055,28,samlevende,ressourceforloeb,110000,77000,1,1,42,152359
SYN42000056,25,samlevende,foertidspension,208000,128960,1,0,45,246888
SYN42000057,26,enlig,ressourceforloeb,145000,101500,1,5,44,111681
SYN42000058,20,samlevende,ressourceforloeb,110000,77000,0,2,50,36557
SYN42000059,20,samlevende,ressourceforloeb,110000,77000,1,1,50,510688
SYN42000060,27,samlevende,foertidspension,208000,128960,1,0,43,219285
SYN42000061,25,samlevende,ressourceforloeb,110000,77000,0,2,45,162013
SYN42000062,26,samlevende,ressourceforloeb,110000,77000,0,1,44,166013
SYN42000063,28,samlevende,foertidspension,208000,128960,1,0,42,207232
SYN42000064,27,samlevende,ressourceforloeb,110000,77000,0,2,43,118976
SYN42000065,26,enlig,ressourceforloeb,145000,101500,1,1,44,236331
